caption, comment, image
現調1,外壁は黒カビが一面にひろがり、特に北側の状態がひどく、防カビの塗装を下塗りに使用し和を醸し出すために艶消し塗料を使用しました。木部デッキもかなり劣化が進んでいたので、キシラデコールを塗って木部の外観を保護することにしました。,a1
現調2,,a2
現調3,,a3
現調4,,a4
木部デッキ1,木部のデッキ板塀なども塗装が剥げて割れや腐食が進んでいました。キシラデコールの色の濃い塗装を使用して木部を保護し、割れや腐食が目立たないようにしました。,a5
木部デッキ2,,a6
木部デッキ3,,a7
木部デッキ4,,a8
外壁部の状態1,外壁の各部の状態を細部にわたり点検して塗装の仕方を決めます。傷んでいる箇所が苔なのか、カビなのか、傷やひび割れ(クラック)なのかで処理の仕方が変わってきます。,a9
外壁部の状態2,,a10
外壁部の状態3,,a11
外壁部の状態4,,a12
完工前チェック1,完工前に足場に登り各場所を入念に点検チェックして、仕上がり状況を確認します。その後タッチアップによる修正や補修を行います。,a15
完工前チェック2,,a16
完工前チェック3,,a17
完工前チェック4,,a18
完工1,足場を外してから、安心して住んで頂けるように、さらに再度確認をして完成です。,a22
完工2,,a20
完工3,,a21
完工4,,a19
完工5,,ab2
完工6,,ab1
完工7,,ab3
完工8,,ab5
